state,temporal_unit,date,metric,futurerevision,buprenorphine,naloxone,naltrexone,buprenorphine_brand,buprenorphine_generic,naloxone_brand,naloxone_generic,naltrexone_brand,naltrexone_generic
AL,annual,2010-01-01,adjmedamt_percap,no,2413.435426683921,0.0,268.7588778168763,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2010-01-01,rx,no,4056.0,10.0,757.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2010-01-01,rx_gb,no,0.0,0.0,0.0,3622.0,434.0,0.0,10.0,92.0,665.0
AL,annual,2010-01-01,rx_percap,no,9.246126396496912,0.0227961696166097,1.7256700399773583,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2011-01-01,adjmedamt,no,1577045.45135498,0.0,167873.83209228519,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2011-01-01,adjmedamt_gb,no,0.0,0.0,0.0,1540980.036621094,36065.41473388672,0.0,0.0,141397.3046875,26476.52740478516
AL,annual,2011-01-01,adjmedamt_percap,no,3415.582798379714,0.0,363.58303605000464,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2011-01-01,rx,no,5720.0,25.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2011-01-01,rx_gb,no,0.0,0.0,0.0,5265.0,455.0,0.0,25.0,155.0,822.0
AL,annual,2011-01-01,rx_percap,no,12.38844041555421,0.0541452815365131,2.115997602446934,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2012-01-01,adjmedamt,no,2298683.778076172,0.0,140626.0728759766,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2012-01-01,adjmedamt_gb,no,0.0,0.0,0.0,2221477.984375,77205.79370117188,0.0,0.0,97864.4765625,42761.59631347656
AL,annual,2012-01-01,adjmedamt_percap,no,4885.710916221226,0.0,298.89206419270835,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2012-01-01,rx,no,7325.0,43.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2012-01-01,rx_gb,no,0.0,0.0,0.0,6650.0,675.0,0.0,43.0,115.0,723.0
AL,annual,2012-01-01,rx_percap,no,15.568836741551399,0.0913938539094485,1.7811174320027399,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2013-01-01,adjmedamt,no,3148726.2036132812,166.4309997558594,76512.94262695312,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2013-01-01,adjmedamt_gb,no,0.0,0.0,0.0,2796655.208496094,352070.9951171875,0.0,166.4309997558594,48082.30859375,28430.63403320313
AL,annual,2013-01-01,adjmedamt_percap,no,6336.385137632532,0.3349198517432831,153.971936950762,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2013-01-01,rx,no,9634.0,80.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2013-01-01,rx_gb,no,0.0,0.0,0.0,8217.0,1417.0,0.0,80.0,71.0,869.0
AL,annual,2013-01-01,rx_percap,no,19.387120526993012,0.1609891677558066,1.8916227211307268,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2014-01-01,adjmedamt,no,3818934.903320313,209.6352081298828,67793.53616333008,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2014-01-01,adjmedamt_gb,no,0.0,0.0,0.0,3333437.63671875,485497.2666015625,0.0,209.6352081298828,35865.59765625,31927.93850708008
AL,annual,2014-01-01,adjmedamt_percap,no,7343.305498400325,0.4031007114523069,130.357981863308,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2014-01-01,rx,no,12011.0,61.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2014-01-01,rx_gb,no,0.0,0.0,0.0,9694.0,2317.0,4.0,57.0,60.0,950.0
AL,annual,2014-01-01,rx_percap,no,23.095560561821,0.1172949125194473,1.94209609253511,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2015-01-01,adjmedamt,no,5458650.456787108,0.0,80898.05456542969,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2015-01-01,adjmedamt_gb,no,0.0,0.0,0.0,4879025.732421875,579624.7243652344,0.0,0.0,45961.716796875,34936.33776855469
AL,annual,2015-01-01,adjmedamt_percap,no,10311.00846058745,0.0,152.81076003539792,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2015-01-01,rx,no,17804.0,84.0,1157.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2015-01-01,rx_gb,no,0.0,0.0,0.0,14424.0,3380.0,12.0,72.0,63.0,1094.0
AL,annual,2015-01-01,rx_percap,no,33.630509241353785,0.1586701177417275,2.185491978894985,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2016-01-01,adjmedamt,no,7369080.83984375,189613.8606262207,72564.0832824707,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2016-01-01,adjmedamt_gb,no,0.0,0.0,0.0,6770619.783691406,598461.0561523439,189260.2578125,353.6028137207031,30537.8896484375,42026.193634033196
AL,annual,2016-01-01,adjmedamt_percap,no,14062.74810347786,361.84865071598784,138.4773008654918,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2016-01-01,rx,no,23800.0,215.0,1453.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2016-01-01,rx_gb,no,0.0,0.0,0.0,19056.0,4744.0,112.0,103.0,48.0,1405.0
AL,annual,2016-01-01,rx_percap,no,45.418609476113396,0.4102941612337975,2.772825191966082,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2017-01-01,adjmedamt,no,8673636.12512207,6093.957763671875,93261.19494628906,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2017-01-01,adjmedamt_gb,no,0.0,0.0,0.0,8223023.207519531,450612.91760253906,3470.881591796875,2623.076171875,55216.66015625,38044.53479003906
AL,annual,2017-01-01,adjmedamt_percap,no,17181.58804898923,12.0715084623032,184.74091020287798,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2017-01-01,rx,no,26568.0,235.0,1501.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2017-01-01,rx_gb,no,0.0,0.0,0.0,22044.0,4524.0,66.0,169.0,56.0,1445.0
AL,annual,2017-01-01,rx_percap,no,52.628496826539575,0.4655110190543812,2.9733278280877715,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2018-01-01,adjmedamt,yes,10591169.589106,63098.410990651864,105280.6349703678,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2018-01-01,adjmedamt_gb,yes,0.0,0.0,0.0,10215082.59643235,376086.9926736453,62074.11703718276,1024.2939534690938,65259.24019703322,40021.3947733346
AL,annual,2018-01-01,adjmedamt_percap,yes,22035.401172659458,131.2790610931688,219.0410613073941,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2018-01-01,rx,yes,31301.283058460787,755.7309679047771,1757.4860967443578,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2018-01-01,rx_gb,yes,0.0,0.0,0.0,26715.39924809834,4585.883810362455,621.7490740740741,133.981893830703,83.18504901960785,1674.30104772475
AL,annual,2018-01-01,rx_percap,yes,65.12371684819497,1.572332018317692,3.6565282872032885,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2010-01-01,adjmedamt,no,255533.05126953128,0.0,14861.644348144531,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2010-01-01,adjmedamt_gb,no,0.0,0.0,0.0,255533.05126953128,0.0,0.0,0.0,0.0,14861.644348144531
AR,annual,2010-01-01,adjmedamt_percap,no,846.9043147409611,0.0,49.25543157747271,0.0,0.0,0.0,0.0,0.0,0.0
AR,annual,2010-01-01,rx,no,1010.0,66.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0
